FP1_THETA,FP1_ALFA,FP1_LOW_BETA,FP1_HIGH_BETA,FP1_GAMMA,FP2_THETA,FP2_ALFA,FP2_LOW_BETA,FP2_HIGH_BETA,FP2_GAMMA,F3_THETA,F3_ALFA,F3_LOW_BETA,F3_HIGH_BETA,F3_GAMMA,F4_THETA,F4_ALFA,F4_LOW_BETA,F4_HIGH_BETA,F4_GAMMA,F7_THETA,F7_ALFA,F7_LOW_BETA,F7_HIGH_BETA,F7_GAMMA,F8_THETA,F8_ALFA,F8_LOW_BETA,F8_HIGH_BETA,F8_GAMMA,T3_THETA,T3_ALFA,T3_LOW_BETA,T3_HIGH_BETA,T3_GAMMA,T4_THETA,T4_ALFA,T4_LOW_BETA,T4_HIGH_BETA,T4_GAMMA,C3_THETA,C3_ALFA,C3_LOW_BETA,C3_HIGH_BETA,C3_GAMMA,C4_THETA,C4_ALFA,C4_LOW_BETA,C4_HIGH_BETA,C4_GAMMA,T5_THETA,T5_ALFA,T5_LOW_BETA,T5_HIGH_BETA,T5_GAMMA,T6_THETA,T6_ALFA,T6_LOW_BETA,T6_HIGH_BETA,T6_GAMMA,P3_THETA,P3_ALFA,P3_LOW_BETA,P3_HIGH_BETA,P3_GAMMA,P4_THETA,P4_ALFA,P4_LOW_BETA,P4_HIGH_BETA,P4_GAMMA,O1_THETA,O1_ALFA,O1_LOW_BETA,O1_HIGH_BETA,O1_GAMMA,O2_THETA,O2_ALFA,O2_LOW_BETA,O2_HIGH_BETA,O2_GAMMA,FZ_THETA,FZ_ALFA,FZ_LOW_BETA,FZ_HIGH_BETA,FZ_GAMMA,CZ_THETA,CZ_ALFA,CZ_LOW_BETA,CZ_HIGH_BETA,CZ_GAMMA,PZ_THETA,PZ_ALFA,PZ_LOW_BETA,PZ_HIGH_BETA,PZ_GAMMA,A2-A1_THETA,A2-A1_ALFA,A2-A1_LOW_BETA,A2-A1_HIGH_BETA,A2-A1_GAMMA,target_class
3.121747856650223651e-03,7.458044595975772033e-04,1.289575663000724253e-03,3.107582808589600017e-03,9.841199215527914219e-04,5.411167202553951623e-03,1.113776652276241182e-03,1.698517092585558660e-03,3.875144090426126293e-03,1.396703760405367369e-03,7.081132745806906215e-03,1.242946581516994912e-03,2.074534985102041880e-03,4.681330645624569471e-03,1.686581143730725820e-03,5.092351824690541720e-03,1.526323995013291815e-03,2.358210852761998509e-03,4.979082611916573094e-03,1.751196895914935775e-03,1.328494495896445811e-02,1.434570688686447959e-03,1.855798370821163355e-03,3.118535271374995362e-03,1.677175542952288097e-03,7.874704575901505035e-03,1.294627594498314743e-03,1.836350946555702357e-03,3.529588343119761506e-03,1.795081410777842534e-03,8.934260759807409122e-03,1.348408830411693127e-03,2.278045690555366171e-03,4.969934354992475156e-03,1.892435988511717180e-03,3.524010727194120621e-03,1.276577218139278002e-03,1.832095524933660940e-03,4.608556183441487458e-03,1.419453865484375348e-03,6.500301082278022065e-03,1.340330497017409254e-03,2.120098085390445097e-03,3.894863102618696237e-03,1.801374514229566815e-03,4.423438746863671625e-03,1.591103058442273335e-03,2.350504575009955237e-03,4.036406108197390478e-03,1.834572857321814261e-03,4.138937004135532713e-03,1.012379141539736628e-03,1.339272126585653493e-03,4.040673079137580871e-03,1.082152329172033235e-03,4.361520423623992462e-03,1.122796331401518114e-03,2.029647898853397404e-03,8.996792991423238628e-03,1.811879642669175002e-03,4.675255034219984174e-03,1.181869699697359402e-03,1.712927966737325114e-03,6.912246204496379394e-03,1.666783925000693903e-03,4.008986339522205462e-03,1.435305458741588337e-03,2.115420258082293618e-03,1.047534316497629805e-02,1.941941737928538133e-03,4.972652694120355960e-03,1.484850622936351172e-03,2.684624055902141461e-03,8.420292556592035710e-03,2.087343609758157779e-03,4.813838626663786806e-03,1.740323628514737868e-03,4.599571662354391167e-03,1.820679920429117693e-02,2.637906172060188337e-03,5.511751904247557537e-03,1.484799017539347983e-03,2.349760376232323290e-03,4.952922590707281927e-03,1.717185556879249290e-03,5.452887822002006404e-03,4.912567788698879272e-03,2.722965367525107070e-03,4.239841134446312859e-03,1.982478284266199747e-03,4.638314180444326300e-03,1.379970985736396049e-03,1.882853193634778655e-03,7.342523207206496857e-03,1.822073427179009405e-03,3.636381431715597352e-04,2.564807358546779834e-04,1.855775588927088620e-04,4.287155113534785265e-04,1.315424531134082396e-04,0.000000000000000000e+00
3.604894960478333132e-03,6.661850455625018159e-04,1.151235571172032866e-03,3.855218362896034069e-03,1.076135926688276661e-03,6.040827698036371242e-03,9.558611363295899934e-04,1.577295295025837787e-03,4.727620360648834667e-03,1.483508086100479312e-03,5.198648103348940674e-03,1.225976476471913939e-03,1.921805905846867739e-03,6.021948392419455495e-03,2.006045162367774311e-03,5.399063756609633405e-03,1.502466828501065324e-03,2.050211480721199960e-03,5.927381052328776524e-03,1.931572215910003307e-03,1.441686260359757721e-02,1.467770700179518500e-03,1.560343704717536122e-03,4.117578765066013356e-03,1.598832798536903819e-03,7.887755787073888469e-03,1.246273174994490902e-03,1.695164478463484850e-03,4.135772301319827829e-03,1.872046795257372364e-03,6.925070985917562184e-03,1.206957464637785100e-03,1.995599350964537191e-03,4.942268396181443216e-03,2.117508654186858481e-03,5.611720563925765189e-03,1.126613031439333825e-03,1.299635605440903948e-03,5.156101524551088069e-03,1.649138669168986795e-03,7.643184670889846197e-03,1.475493656939186457e-03,2.027671745855552220e-03,5.001897319617293509e-03,2.149859173829707197e-03,6.163065165072827492e-03,1.186045192373169632e-03,1.853926964983162269e-03,4.946435670151436842e-03,2.174834449724731902e-03,4.260874278342083321e-03,8.813583406338943013e-04,1.407839164963009537e-03,3.801067892758345970e-03,1.377744350617507874e-03,7.511779441200294727e-03,1.244663897479352573e-03,1.344093413760831567e-03,9.612357919335507220e-03,2.066486609177667702e-03,4.614062501808981025e-03,9.944729190516331252e-04,1.202360265271171973e-03,5.752386629803140153e-03,1.926319716587885289e-03,5.781810679105148926e-03,1.071259146303766381e-03,1.406891662904322538e-03,9.802293186011539622e-03,2.029517559647587167e-03,5.363591860605032569e-03,1.086453038421478050e-03,1.805596173885912420e-03,8.942997296224724710e-03,2.296115061087823216e-03,6.754998837959033664e-03,1.154585342517537626e-03,3.045191222057979687e-03,2.407379068213661572e-02,2.834848567212959816e-03,5.451298841830523947e-03,1.478365359875450117e-03,2.035740865699477674e-03,5.918277001340455090e-03,1.910678776466533070e-03,6.511112107395289166e-03,4.349270848678492632e-03,2.591144679222260987e-03,5.396724870224497810e-03,2.184992521942557501e-03,6.095157015876426394e-03,1.057575228464530332e-03,1.479516725455121053e-03,6.026251465552646611e-03,1.975132530836490753e-03,4.372065844524419429e-04,2.032581549817337972e-04,1.692294723481213255e-04,5.771854998413776224e-04,1.470454993709945329e-04,0.000000000000000000e+00
3.238108154512901564e-03,7.026439862842260306e-04,1.059470922101661593e-03,3.331514057585205964e-03,1.057088172783519995e-03,6.116238316018534661e-03,1.001480111262749570e-03,1.323741475272520365e-03,4.140337548602959945e-03,1.482995648065893891e-03,4.320918120085119780e-03,1.103219428590086065e-03,1.612013990843311293e-03,5.073848335872830143e-03,1.775306225689737448e-03,4.820439558269985943e-03,1.188803976696572355e-03,1.906706714936960961e-03,5.712142859957277177e-03,1.837703580841684205e-03,1.237839152586062315e-02,1.538590296651913590e-03,1.991106384201038471e-03,3.162962075021031553e-03,1.618854799374863044e-03,1.041297781846028253e-02,1.356469656788742871e-03,1.480564863088202655e-03,3.917596220961595994e-03,1.761820902282644312e-03,8.324492136822054730e-03,1.123094306499239445e-03,2.591772414347052328e-03,5.188870752736912673e-03,2.051231586125139023e-03,3.411320881816561415e-03,8.344542345344218215e-04,1.317762426756251964e-03,5.127871561225984948e-03,1.503648656697284015e-03,5.707374672341854367e-03,1.421885397050988561e-03,1.729139864002205481e-03,4.606837345714793509e-03,1.843181689172596321e-03,4.422334886481069094e-03,1.212155243238833722e-03,1.880795708516763264e-03,5.046500315598073487e-03,2.065136456041612861e-03,3.899233903441401330e-03,8.421958341990905652e-04,1.187722246083639573e-03,3.862170031786208053e-03,1.177269316448626953e-03,4.515738452793230905e-03,7.947835741382144794e-04,1.522491522686144098e-03,8.589749927549827566e-03,1.859424186988158176e-03,3.325369128004774643e-03,9.149043986555416503e-04,1.320575804586888915e-03,5.835600815150841607e-03,1.687625548635570023e-03,4.248075397466231397e-03,9.466089003964736756e-04,1.502011871941828130e-03,8.389395358712735742e-03,1.870182566303207417e-03,3.865685993012365693e-03,9.501239471681095523e-04,1.316931045438798475e-03,5.679110269676919918e-03,1.983942366939243137e-03,5.003581392304293218e-03,9.863004983113182744e-04,1.909714786426344908e-03,1.284056082299637330e-02,2.348504357185025003e-03,4.606034744750539187e-03,1.225672544984770119e-03,1.920074673885208399e-03,5.680463986707733927e-03,1.798301090171421307e-03,5.878688777061285078e-03,4.560375294245935102e-03,2.276028075648031061e-03,4.938726668246209289e-03,2.033492807844369983e-03,4.761240116711368785e-03,9.129430100376881730e-04,1.415331243582487871e-03,6.110321789361577126e-03,1.771247102359758355e-03,4.144234221095115960e-04,2.582646305395749995e-04,2.011749463121214731e-04,4.970602754816984487e-04,1.271255356111004615e-04,0.000000000000000000e+00
2.924109329087797200e-03,6.965853735386909719e-04,1.280412857643632848e-03,3.898401254887330115e-03,1.034768989667248472e-03,5.723200865808649070e-03,8.989494054478134677e-04,1.609191835356040034e-03,4.823026108648409069e-03,1.453850754589812964e-03,4.186869118640865542e-03,1.242220947221078743e-03,2.094684866333087602e-03,6.024664132865414738e-03,1.800236053047364441e-03,4.270718422190438596e-03,1.320364619001181562e-03,2.246138138699656749e-03,6.476722019473843406e-03,1.850883303868980975e-03,1.035851204366490010e-02,1.389605949120880984e-03,2.052204265593809279e-03,3.822542767194125023e-03,1.610310364199527087e-03,5.575561174580549381e-03,1.145276709144358879e-03,1.676572573845067039e-03,4.643511116618335120e-03,1.760833014729104281e-03,7.544298881618105405e-03,1.524964662283901078e-03,2.409975424470215885e-03,4.630672920072937716e-03,1.821937441593291700e-03,4.074390618224589360e-03,9.700026051865746554e-04,1.519766950674531153e-03,5.759214106677653169e-03,1.424978428781234398e-03,5.611508654513207815e-03,1.729883285284459452e-03,2.098593297895656219e-03,4.778186496812508038e-03,1.793181297942769660e-03,4.544874839376323618e-03,1.585595874384557787e-03,2.086534770421595141e-03,5.548542165692273327e-03,1.937095834497370734e-03,4.520257399676099255e-03,9.688250446978508706e-04,1.213536447435210712e-03,3.972707844380070005e-03,1.278547174325819075e-03,5.511565009659150603e-03,9.066063318577224136e-04,1.579470710259180599e-03,1.114540294324083136e-02,1.791257454922831052e-03,4.026704386764482294e-03,1.276535547446840764e-03,1.668264503081713472e-03,6.309419852553612915e-03,1.812558528674158191e-03,4.275651222103164957e-03,1.227538214252277401e-03,1.839909344306380097e-03,1.156410379314358472e-02,1.964500876486350179e-03,4.358109779589896746e-03,1.231355192659202777e-03,2.093081916151034484e-03,1.067612593699546718e-02,2.403099608747151332e-03,5.381446379726130547e-03,1.134455760378201518e-03,3.777218934205850420e-03,2.982358295928668260e-02,3.035624514137128058e-03,4.349406794789684692e-03,1.333590334487674703e-03,2.226112039195387964e-03,6.431183595691046008e-03,1.824871044148178214e-03,5.601286027745381105e-03,4.235630783662499253e-03,2.740242426353036147e-03,5.881056524989501481e-03,2.097107706265815760e-03,4.737230095374944314e-03,1.360795819522610077e-03,1.625900820007498753e-03,6.907444803644149055e-03,1.866336224093895690e-03,3.880049184656998783e-04,2.247673943695470671e-04,2.075521311872147992e-04,7.382139341641627333e-04,1.559704767223896041e-04,0.000000000000000000e+00
2.708285360196229126e-03,7.637046576667845619e-04,1.207751479579907651e-03,3.596141474383502713e-03,1.209103233933650663e-03,4.032373172413795601e-03,9.645253662167764530e-04,1.529173036069211410e-03,4.449250686338580667e-03,1.587876301368914850e-03,4.250612248908236003e-03,1.401515049312792660e-03,1.964317810614206114e-03,5.743295014079054586e-03,2.145460370875329655e-03,4.797977882568080395e-03,1.690039681887062608e-03,2.125441857627502484e-03,6.132177566968652523e-03,2.166688754247712411e-03,1.195827561844761688e-02,1.320196372644504923e-03,1.688855390627220631e-03,3.542386117269014610e-03,1.631380059173503537e-03,9.049075330614428370e-03,1.479787220282869839e-03,1.732474136325870854e-03,4.358183270843559234e-03,2.000080501610865258e-03,6.821057642214824017e-03,1.364064495868707542e-03,2.485715332744942597e-03,5.337650095196764741e-03,1.999482982719984290e-03,3.697299463849272171e-03,1.043553777493327330e-03,1.631858700873479616e-03,8.098945472630719039e-03,1.646241129785920836e-03,5.126809714111389346e-03,1.725691636145053635e-03,2.076190487793045866e-03,4.768043847176459647e-03,2.222522341620545433e-03,4.779111903728935386e-03,1.646651111653123006e-03,2.233772505047823629e-03,6.314659977768219933e-03,2.294244342262626631e-03,3.988704107045437652e-03,7.470137749779966370e-04,1.246407419404017749e-03,4.322249231290283163e-03,1.302662667904444212e-03,4.538292411729333981e-03,8.908403416773590967e-04,1.808104875961571122e-03,1.395026187652533868e-02,2.129513238218109714e-03,4.398908128955150362e-03,1.261330786598756359e-03,1.635232203429085995e-03,6.593423996379004642e-03,1.936177841730965391e-03,4.482404893085724026e-03,1.373987438501536205e-03,1.945439245813019441e-03,1.403648136037555401e-02,2.272327490867683507e-03,5.260674376107686567e-03,1.199165104632404387e-03,2.364825397234138465e-03,9.407552455975860817e-03,2.450427842873258415e-03,5.947823390035135785e-03,1.272990974280115237e-03,4.128616965030812089e-03,2.430200556402364181e-02,3.637327577101627865e-03,4.661517559645786749e-03,1.690287749413237148e-03,2.102642648593120236e-03,6.140477520657608261e-03,2.133615274650056334e-03,7.685334728342552331e-03,5.159552667186164364e-03,2.623268181067610338e-03,5.759971968727398660e-03,2.463496035747461330e-03,5.182996302844658683e-03,1.296905883148138710e-03,1.704001532798898877e-03,7.011689732043214877e-03,2.136916439420712046e-03,4.292914696199226412e-04,2.908832492095994354e-04,2.056940762559181647e-04,9.306930994016944644e-04,1.637297965104082386e-04,0.000000000000000000e+00
2.400049308007618995e-03,5.607432068576343690e-04,1.067805382637675897e-03,3.067977581074022176e-03,1.185664031284958033e-03,3.779730513272768714e-03,7.725504405294694515e-04,1.367652984973414913e-03,3.740083061530750930e-03,1.610183500358094641e-03,3.968822390096371326e-03,9.917040389666837655e-04,1.795026623140261526e-03,4.799787648065691192e-03,1.992577788091745225e-03,7.663376903607086246e-03,1.185293008899478617e-03,1.990256644178928225e-03,4.901906771099090107e-03,2.016495593202774321e-03,7.346505601928462505e-03,1.041441094031938424e-03,1.496766355078796079e-03,3.217440653467584528e-03,1.596555318324414073e-03,4.937513779800207191e-03,1.020656101908818617e-03,1.532485029782834716e-03,3.279035306699153510e-03,1.933588290367641797e-03,6.277579550372348535e-03,1.282055943678185551e-03,1.860163924377326600e-03,5.446322596096044889e-03,1.864257477434512738e-03,3.202207312239519280e-03,8.450009751422468381e-04,1.435122350569404499e-03,4.664970145304795160e-03,1.508594402960757898e-03,5.764567211661909309e-03,1.373690285145930633e-03,1.836194329464082512e-03,4.602032088931287505e-03,1.915401312346543764e-03,3.840932516112930198e-03,1.126154179906498640e-03,2.015239013393983238e-03,4.311215879845975776e-03,2.080945999503493703e-03,3.576822003028932908e-03,9.180225258606642584e-04,9.681308996407499059e-04,3.702280371311143358e-03,1.275989640214400533e-03,3.861011101703841659e-03,8.932627728349884152e-04,1.346711171508823638e-03,8.797961006141892526e-03,1.973098337148104092e-03,3.329786878399356234e-03,1.091278596789879013e-03,1.246422536311673091e-03,5.179756652680693116e-03,1.690063477992158770e-03,3.319169168672374964e-03,1.166723149397451377e-03,1.503845934381852455e-03,8.328060506690751832e-03,1.941792739041168885e-03,2.880405564495644617e-03,1.246885795260255312e-03,1.350272584803615707e-03,6.856797223912984920e-03,1.926776583187073122e-03,4.173520290005978441e-03,1.134229945191392438e-03,1.876714637102657986e-03,1.682969846934234681e-02,2.638744858855577094e-03,5.741548202417528883e-03,1.231428209804510260e-03,1.980027174513820151e-03,4.888258844475129941e-03,1.997469015387497680e-03,5.056655653947663559e-03,5.101297435719969950e-03,2.402197781972289885e-03,4.280592739582609295e-03,2.197799551608599355e-03,3.563101104471323027e-03,1.241374524222015789e-03,1.243786995724474424e-03,5.353649747538049078e-03,1.762237861602825376e-03,3.808919848455535884e-04,2.981241513146037849e-04,1.733818838170612161e-04,6.109901324844906664e-04,1.429237658486411642e-04,0.000000000000000000e+00
3.977507276984432703e-03,6.488064759032327643e-04,1.218070511061524180e-03,5.840512888473793195e-04,3.156945586240008880e-04,4.475531354121355110e-03,7.106965397717437136e-04,1.543102445254385417e-03,6.324924195812354393e-04,3.523234670921809950e-04,7.872918639808993563e-03,1.721627894358573191e-03,3.100047889329032597e-03,1.080298985254830998e-03,4.867897563408544255e-04,8.782849720269129620e-03,1.955204158016653898e-03,3.081973508367437126e-03,1.125441057135901941e-03,5.012788984658282871e-04,5.530257338225836455e-03,8.756572632320052665e-04,1.430663458974733640e-03,8.194202587269526885e-04,3.814677620897431167e-04,3.495946452182251921e-03,9.105099202264941736e-04,1.379557095296062063e-03,8.519874071586075156e-04,3.395352575097991500e-04,4.879306273702184102e-03,9.223648150688434260e-04,1.119759183465180450e-03,4.414907538848049547e-04,2.847023408232253949e-04,4.444883902793764392e-03,1.011975599472947655e-03,2.151205267909022008e-03,5.577220241144498821e-04,3.377274854272501142e-04,8.425358935820364756e-03,1.762942849163376532e-03,2.671494818313255651e-03,1.058537275137408319e-03,4.895952622206737812e-04,7.982480440757808854e-03,1.859487750539009360e-03,3.726169298755687385e-03,1.379028402182140263e-03,5.184274860853063530e-04,4.024737679815863778e-03,7.122851514745083936e-04,1.376529700093696591e-03,5.529731586614426058e-04,2.914429855223263366e-04,2.937977418861163238e-03,6.568878516191678594e-04,2.243129593445669732e-03,9.456096041368330408e-04,4.907692676265558484e-04,6.189748242555371746e-03,1.490530217934874901e-03,2.844014421131310123e-03,1.358165179997500565e-03,7.353537433653459547e-04,6.602665537869798797e-03,1.359094134470507790e-03,3.380124844832468282e-03,1.837765322176482859e-03,6.399485326319918899e-04,5.623204331563634757e-03,1.028408621082352184e-03,2.958360023563101279e-03,2.413650521411173176e-03,6.625807719506078899e-04,5.321215010936485891e-03,1.051828159881462547e-03,3.168012719612258235e-03,3.201005666585569984e-03,8.075021477176111276e-04,1.005819545951791918e-02,2.765860418090419250e-03,3.873485113089121697e-03,1.600897923738143266e-03,5.811737433759649922e-04,9.383179957834282547e-03,2.514513170905094235e-03,4.449625671767544824e-03,1.586173172659059759e-03,5.828824167566855384e-04,1.149665178471158573e-02,1.615527560229780600e-03,3.543574856037444779e-03,2.782473522279987638e-03,6.793469586770672529e-04,2.671702904091335950e-04,7.017685196010915033e-05,1.558154266277374082e-04,7.699644083455510469e-05,6.560198380642910145e-05,0.000000000000000000e+00
3.529833119571851134e-03,5.368078269984181364e-04,1.678277935128478279e-03,6.262881662617400709e-04,3.975166162934163586e-04,3.406152787428088410e-03,6.334541787018895323e-04,2.320415865978238922e-03,7.678062249682677566e-04,4.228687510554327619e-04,6.565968421340852117e-03,1.789684346833269723e-03,4.257155831999101872e-03,1.342947445008578749e-03,5.253582396764443479e-04,6.798260453584859322e-03,1.729189867352477717e-03,4.738033189731766757e-03,1.371175823819849229e-03,5.519674201722623219e-04,4.503394723647367696e-03,8.940929469370672558e-04,2.046743035852880734e-03,8.698289259251188116e-04,6.006753727711769408e-04,2.554437507336031806e-03,7.569018131387214316e-04,2.020406742182128020e-03,8.710470470897410796e-04,4.637724490808991401e-04,3.492206217252078609e-03,8.130892713039735570e-04,1.369555117333225982e-03,5.349089254555187056e-04,3.185204326227592106e-04,4.433227516772463885e-03,7.836721518410279383e-04,2.523401700987612777e-03,9.440075270921809538e-04,4.212432696143125028e-04,6.150364101472514597e-03,1.662782654825565318e-03,3.900064050827394772e-03,1.392858629831472423e-03,5.068045318272682270e-04,6.279342191342715367e-03,1.704489896391646461e-03,5.342604211533378417e-03,2.001434460481652661e-03,5.515338421648636634e-04,3.320310478451358321e-03,6.104586026675966294e-04,1.083874219264186530e-03,6.553263399194629319e-04,3.452052447343477090e-04,2.978237188736531944e-03,6.196145710167180612e-04,2.932048247097110601e-03,2.088047796764280848e-03,9.115121366431874978e-04,5.538722023515758180e-03,1.498351755846924309e-03,3.751472621238524652e-03,2.040455262279544484e-03,8.327860492224101836e-04,5.570360973872819955e-03,1.254981977908086821e-03,4.767461701126390200e-03,3.628560225147712398e-03,7.939469614504977932e-04,5.865883897759408168e-03,9.642682971684346125e-04,4.693249370942181517e-03,3.741241659938301673e-03,9.672686523552367476e-04,4.700370608181970652e-03,9.348690278396653165e-04,5.164981353307796993e-03,5.390789570909010169e-03,1.044890160716445285e-03,8.105443954157744504e-03,2.495458454351583578e-03,5.292210857491982251e-03,1.666948839617140698e-03,6.123553631207925233e-04,7.954576816978002271e-03,2.517669331799726306e-03,6.957237075522267056e-03,2.159311960677899773e-03,5.756883540485453450e-04,6.715889569817172673e-03,1.558753875422123642e-03,6.047140226369830326e-03,4.149087207408761260e-03,7.861384372875120010e-04,2.909168089495765461e-04,6.514415590617350833e-05,1.863150223429163566e-04,1.036477677078232081e-04,8.815274257563911393e-05,0.000000000000000000e+00
3.794011390521290130e-03,7.200765146486799500e-04,1.283616217160817117e-03,5.605017175172651456e-04,4.088849017624383050e-04,4.770102983849445512e-03,8.880269802184522897e-04,1.743672053162981326e-03,8.155454840516765478e-04,4.326615374829301621e-04,8.232485561641644106e-03,2.393067363292451701e-03,3.197383977099678767e-03,1.002735979572261238e-03,5.373067999298029342e-04,8.211950804813879581e-03,1.916417493758963307e-03,3.236427154981438327e-03,1.315514203298571603e-03,5.261070768536675775e-04,5.411468311478118479e-03,1.372730359507136040e-03,1.775717898958071184e-03,7.295707067345167437e-04,5.178051860565784353e-04,3.679570646194287812e-03,9.187485236944482056e-04,1.481950952539952838e-03,8.687652933033396989e-04,4.605766957566255200e-04,7.912568300313518876e-03,1.088021094468295596e-03,1.266446468362557136e-03,4.508530585121052914e-04,2.864351085565239904e-04,5.862177638060649121e-03,9.232573365837810561e-04,1.801151080136444756e-03,8.709865461911125463e-04,3.859643180711826529e-04,8.154377602191320226e-03,1.817993286395635242e-03,2.759314339293778093e-03,1.104584344537665576e-03,5.218383422589586420e-04,8.139218865784669799e-03,1.742580137481130947e-03,3.396536038453769162e-03,1.653555236473550939e-03,5.689413369713400455e-04,5.632415448657192986e-03,7.785341534939766404e-04,1.066868167330098892e-03,5.408855698545358016e-04,2.826530401621762706e-04,4.165768840977869189e-03,6.566204216662392635e-04,2.139619793449050109e-03,1.598864076526128070e-03,9.401421211621525074e-04,7.412952968602882359e-03,1.393208991282387068e-03,2.688202403551515768e-03,1.802673422183541894e-03,7.389105609376769076e-04,6.903555862037383771e-03,1.372654539124004182e-03,3.403826812657022825e-03,2.885041773055064488e-03,7.325428238538977347e-04,6.471087037503533632e-03,1.116676633376326036e-03,3.719110817048095277e-03,3.657453503670464890e-03,8.194325907742285118e-04,6.364034195931603591e-03,1.159059669099777147e-03,4.605827321372263708e-03,4.873114762956360854e-03,9.987680944832529571e-04,1.098029340768506314e-02,3.325473047533414068e-03,3.970162165949921509e-03,1.317582752522576889e-03,6.337930691136401664e-04,9.716235586056758827e-03,2.395191091988455988e-03,4.338521832432672837e-03,1.752349525969722254e-03,6.328709994832471463e-04,8.161126256163726833e-03,1.675875939907341475e-03,4.150277684652776272e-03,4.008875346356553099e-03,7.703170860185963977e-04,3.024018423941253692e-04,1.128407974418814869e-04,1.608858560566485982e-04,1.202809369981722826e-04,7.689089369733433457e-05,0.000000000000000000e+00
2.935435196799821792e-03,6.282440203999659209e-04,1.208719752148833910e-03,6.709327493900675305e-04,4.000703450675282993e-04,3.204080477577799565e-03,8.345734632290985463e-04,1.477024011802685090e-03,8.220192728657189571e-04,3.564625965457506127e-04,5.650809009014664576e-03,2.133322257870593798e-03,2.776100617344423073e-03,1.131200968470662781e-03,5.086714766121186232e-04,5.321253099799422813e-03,1.864222294912865627e-03,2.675934851733976355e-03,1.347089766125787041e-03,5.357529487325829627e-04,4.382348826285986133e-03,1.097401050836865986e-03,1.451632542728387197e-03,8.925807346068067227e-04,4.835707437126406322e-04,2.467664478077240178e-03,8.598122322253067473e-04,1.363073908783909039e-03,9.453832508928426866e-04,4.404186971650848144e-04,4.087145511996418713e-03,9.431219212296141838e-04,1.175971211443217366e-03,4.904819433327456532e-04,3.524069815221772149e-04,3.725934990998489189e-03,1.001827695138853653e-03,1.316589540853154317e-03,8.305841915325608499e-04,5.374875237830641344e-04,6.191153927501676611e-03,1.689347030305332143e-03,2.429607597638863605e-03,1.108224257696283034e-03,4.906831938824841822e-04,5.932375578415327068e-03,1.599119227062651858e-03,2.610060644384569993e-03,1.692458842679846242e-03,5.444405377270438665e-04,4.117829830271747121e-03,7.334328576709376419e-04,1.081527692961404717e-03,5.967271018777153780e-04,4.044703428180755579e-04,2.897364903794998406e-03,6.246987463952219160e-04,2.154047276929135085e-03,1.549262545965243969e-03,8.133435813852709891e-04,5.969659917900044591e-03,1.339299240511223742e-03,2.102549792094037060e-03,1.645334393880469072e-03,7.298619760263283865e-04,5.597445340826374439e-03,1.151998499293825683e-03,2.625931382232991104e-03,2.285086595895959721e-03,7.029598071186377289e-04,6.516840451810345519e-03,1.028085937493141474e-03,2.692561346251856180e-03,2.670262684717075643e-03,7.239103350781023356e-04,5.329457233650694396e-03,9.544285811383856812e-04,3.984561603826237454e-03,3.613658504252090231e-03,9.370572434419199804e-04,7.858246099696403197e-03,2.980930196305534886e-03,3.676236211202213531e-03,1.603753308691897427e-03,5.819874618700736097e-04,7.647576206065010221e-03,2.212892692153173042e-03,3.493165042917526202e-03,1.761451137899617322e-03,5.796093386771260843e-04,7.060388146816705401e-03,1.321546403996863355e-03,2.959883808809706668e-03,2.862899687917261262e-03,6.425903033227259439e-04,2.899395262098219896e-04,8.486330466655147187e-05,1.373402902371500514e-04,1.039606233515597423e-04,8.199698508573671568e-05,0.000000000000000000e+00
