p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,target_class
3.121747856650223651e-03,7.458044595975772033e-04,1.289575663000724253e-03,3.107582808589600017e-03,9.841199215527914219e-04,5.411167202553951623e-03,1.113776652276241182e-03,1.698517092585558660e-03,3.875144090426126293e-03,1.396703760405367369e-03,7.081132745806906215e-03,1.242946581516994912e-03,2.074534985102041880e-03,4.681330645624569471e-03,1.686581143730725820e-03,5.092351824690541720e-03,1.526323995013291815e-03,2.358210852761998509e-03,4.979082611916573094e-03,1.751196895914935775e-03,1.328494495896445811e-02,1.434570688686447959e-03,1.855798370821163355e-03,3.118535271374995362e-03,1.677175542952288097e-03,7.874704575901505035e-03,1.294627594498314743e-03,1.836350946555702357e-03,3.529588343119761506e-03,1.795081410777842534e-03,0.000000000000000000e+00
3.604894960478333132e-03,6.661850455625018159e-04,1.151235571172032866e-03,3.855218362896034069e-03,1.076135926688276661e-03,6.040827698036371242e-03,9.558611363295899934e-04,1.577295295025837787e-03,4.727620360648834667e-03,1.483508086100479312e-03,5.198648103348940674e-03,1.225976476471913939e-03,1.921805905846867739e-03,6.021948392419455495e-03,2.006045162367774311e-03,5.399063756609633405e-03,1.502466828501065324e-03,2.050211480721199960e-03,5.927381052328776524e-03,1.931572215910003307e-03,1.441686260359757721e-02,1.467770700179518500e-03,1.560343704717536122e-03,4.117578765066013356e-03,1.598832798536903819e-03,7.887755787073888469e-03,1.246273174994490902e-03,1.695164478463484850e-03,4.135772301319827829e-03,1.872046795257372364e-03,0.000000000000000000e+00
3.238108154512901564e-03,7.026439862842260306e-04,1.059470922101661593e-03,3.331514057585205964e-03,1.057088172783519995e-03,6.116238316018534661e-03,1.001480111262749570e-03,1.323741475272520365e-03,4.140337548602959945e-03,1.482995648065893891e-03,4.320918120085119780e-03,1.103219428590086065e-03,1.612013990843311293e-03,5.073848335872830143e-03,1.775306225689737448e-03,4.820439558269985943e-03,1.188803976696572355e-03,1.906706714936960961e-03,5.712142859957277177e-03,1.837703580841684205e-03,1.237839152586062315e-02,1.538590296651913590e-03,1.991106384201038471e-03,3.162962075021031553e-03,1.618854799374863044e-03,1.041297781846028253e-02,1.356469656788742871e-03,1.480564863088202655e-03,3.917596220961595994e-03,1.761820902282644312e-03,0.000000000000000000e+00
2.924109329087797200e-03,6.965853735386909719e-04,1.280412857643632848e-03,3.898401254887330115e-03,1.034768989667248472e-03,5.723200865808649070e-03,8.989494054478134677e-04,1.609191835356040034e-03,4.823026108648409069e-03,1.453850754589812964e-03,4.186869118640865542e-03,1.242220947221078743e-03,2.094684866333087602e-03,6.024664132865414738e-03,1.800236053047364441e-03,4.270718422190438596e-03,1.320364619001181562e-03,2.246138138699656749e-03,6.476722019473843406e-03,1.850883303868980975e-03,1.035851204366490010e-02,1.389605949120880984e-03,2.052204265593809279e-03,3.822542767194125023e-03,1.610310364199527087e-03,5.575561174580549381e-03,1.145276709144358879e-03,1.676572573845067039e-03,4.643511116618335120e-03,1.760833014729104281e-03,0.000000000000000000e+00
2.708285360196229126e-03,7.637046576667845619e-04,1.207751479579907651e-03,3.596141474383502713e-03,1.209103233933650663e-03,4.032373172413795601e-03,9.645253662167764530e-04,1.529173036069211410e-03,4.449250686338580667e-03,1.587876301368914850e-03,4.250612248908236003e-03,1.401515049312792660e-03,1.964317810614206114e-03,5.743295014079054586e-03,2.145460370875329655e-03,4.797977882568080395e-03,1.690039681887062608e-03,2.125441857627502484e-03,6.132177566968652523e-03,2.166688754247712411e-03,1.195827561844761688e-02,1.320196372644504923e-03,1.688855390627220631e-03,3.542386117269014610e-03,1.631380059173503537e-03,9.049075330614428370e-03,1.479787220282869839e-03,1.732474136325870854e-03,4.358183270843559234e-03,2.000080501610865258e-03,0.000000000000000000e+00
2.400049308007618995e-03,5.607432068576343690e-04,1.067805382637675897e-03,3.067977581074022176e-03,1.185664031284958033e-03,3.779730513272768714e-03,7.725504405294694515e-04,1.367652984973414913e-03,3.740083061530750930e-03,1.610183500358094641e-03,3.968822390096371326e-03,9.917040389666837655e-04,1.795026623140261526e-03,4.799787648065691192e-03,1.992577788091745225e-03,7.663376903607086246e-03,1.185293008899478617e-03,1.990256644178928225e-03,4.901906771099090107e-03,2.016495593202774321e-03,7.346505601928462505e-03,1.041441094031938424e-03,1.496766355078796079e-03,3.217440653467584528e-03,1.596555318324414073e-03,4.937513779800207191e-03,1.020656101908818617e-03,1.532485029782834716e-03,3.279035306699153510e-03,1.933588290367641797e-03,0.000000000000000000e+00
3.977507276984432703e-03,6.488064759032327643e-04,1.218070511061524180e-03,5.840512888473793195e-04,3.156945586240008880e-04,4.475531354121355110e-03,7.106965397717437136e-04,1.543102445254385417e-03,6.324924195812354393e-04,3.523234670921809950e-04,7.872918639808993563e-03,1.721627894358573191e-03,3.100047889329032597e-03,1.080298985254830998e-03,4.867897563408544255e-04,8.782849720269129620e-03,1.955204158016653898e-03,3.081973508367437126e-03,1.125441057135901941e-03,5.012788984658282871e-04,5.530257338225836455e-03,8.756572632320052665e-04,1.430663458974733640e-03,8.194202587269526885e-04,3.814677620897431167e-04,3.495946452182251921e-03,9.105099202264941736e-04,1.379557095296062063e-03,8.519874071586075156e-04,3.395352575097991500e-04,0.000000000000000000e+00
3.529833119571851134e-03,5.368078269984181364e-04,1.678277935128478279e-03,6.262881662617400709e-04,3.975166162934163586e-04,3.406152787428088410e-03,6.334541787018895323e-04,2.320415865978238922e-03,7.678062249682677566e-04,4.228687510554327619e-04,6.565968421340852117e-03,1.789684346833269723e-03,4.257155831999101872e-03,1.342947445008578749e-03,5.253582396764443479e-04,6.798260453584859322e-03,1.729189867352477717e-03,4.738033189731766757e-03,1.371175823819849229e-03,5.519674201722623219e-04,4.503394723647367696e-03,8.940929469370672558e-04,2.046743035852880734e-03,8.698289259251188116e-04,6.006753727711769408e-04,2.554437507336031806e-03,7.569018131387214316e-04,2.020406742182128020e-03,8.710470470897410796e-04,4.637724490808991401e-04,0.000000000000000000e+00
3.794011390521290130e-03,7.200765146486799500e-04,1.283616217160817117e-03,5.605017175172651456e-04,4.088849017624383050e-04,4.770102983849445512e-03,8.880269802184522897e-04,1.743672053162981326e-03,8.155454840516765478e-04,4.326615374829301621e-04,8.232485561641644106e-03,2.393067363292451701e-03,3.197383977099678767e-03,1.002735979572261238e-03,5.373067999298029342e-04,8.211950804813879581e-03,1.916417493758963307e-03,3.236427154981438327e-03,1.315514203298571603e-03,5.261070768536675775e-04,5.411468311478118479e-03,1.372730359507136040e-03,1.775717898958071184e-03,7.295707067345167437e-04,5.178051860565784353e-04,3.679570646194287812e-03,9.187485236944482056e-04,1.481950952539952838e-03,8.687652933033396989e-04,4.605766957566255200e-04,0.000000000000000000e+00
2.935435196799821792e-03,6.282440203999659209e-04,1.208719752148833910e-03,6.709327493900675305e-04,4.000703450675282993e-04,3.204080477577799565e-03,8.345734632290985463e-04,1.477024011802685090e-03,8.220192728657189571e-04,3.564625965457506127e-04,5.650809009014664576e-03,2.133322257870593798e-03,2.776100617344423073e-03,1.131200968470662781e-03,5.086714766121186232e-04,5.321253099799422813e-03,1.864222294912865627e-03,2.675934851733976355e-03,1.347089766125787041e-03,5.357529487325829627e-04,4.382348826285986133e-03,1.097401050836865986e-03,1.451632542728387197e-03,8.925807346068067227e-04,4.835707437126406322e-04,2.467664478077240178e-03,8.598122322253067473e-04,1.363073908783909039e-03,9.453832508928426866e-04,4.404186971650848144e-04,0.000000000000000000e+00
5.131537373927242719e-03,7.465114702443962063e-04,1.403352002385706721e-03,9.346578555465055813e-04,4.912895540690647225e-04,7.311233317547142542e-03,8.922660115748563738e-04,1.548113111905598770e-03,9.347596946743995600e-04,3.752440301800827717e-04,9.752884906160618622e-03,1.677260256812096841e-03,3.181078043324589086e-03,1.579144140455656211e-03,5.629558060146149347e-04,1.390363766583972184e-02,1.759294390396736862e-03,3.065586268254394745e-03,1.616495800724928765e-03,5.454704117209483978e-04,8.447058377414948596e-03,1.140022662283910956e-03,1.935265975182689406e-03,1.287758551527216650e-03,7.064023972470037009e-04,4.563641664453128161e-03,9.084598914408919396e-04,1.411610288383640527e-03,9.396456423185813728e-04,4.250461837037561416e-04,0.000000000000000000e+00
3.396521255771799575e-03,7.168178826917929406e-04,1.572823605995170163e-03,4.675321554290727110e-04,3.078030420680456553e-04,3.390571309617153306e-03,8.284037798085099914e-04,1.868633354948283191e-03,5.768867077575077443e-04,2.826389473053490592e-04,5.395553639887687089e-03,2.152682393574958594e-03,4.659147629888241160e-03,7.514778967092284245e-04,3.803476998835968875e-04,5.561142288481923934e-03,2.383875326361122732e-03,4.484406879602042054e-03,9.281925458526386896e-04,4.083457973933777348e-04,3.783541677035053095e-03,1.011745642078146169e-03,2.160113801776869253e-03,5.605401713735534740e-04,3.718416788918932564e-04,2.573315905907348766e-03,8.994902746400537229e-04,1.634835000253410204e-03,5.982655605621525286e-04,3.301561045828101462e-04,0.000000000000000000e+00
2.815037389215773161e-03,3.249137863325925971e-04,8.332519732343145582e-04,4.616760757984402267e-04,3.363330946539124411e-04,3.881753650578884975e-03,4.378949114320586562e-04,1.011070466040853242e-03,7.251156465436791893e-04,4.648460488050760704e-04,3.524591385444731349e-03,8.027361503706136048e-04,1.512956299935873643e-03,8.120752127257320962e-04,5.740401592481550810e-04,3.225638317188184428e-03,8.111282169978430243e-04,1.505757380370878820e-03,9.508405988970458850e-04,8.668433159171554537e-04,4.605992983752340598e-03,3.091753060448212877e-04,7.111110120056618206e-04,3.987706466233502476e-04,3.139719119156558552e-04,4.155367782816657071e-03,5.949953914676951380e-04,9.569113296767333549e-04,6.937113148608193419e-04,5.588866347930958843e-04,0.000000000000000000e+00
